2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | ERROR    | main_window          | Error UI: 'AtraccionModel' object has no attribute 'visitantes_en_cola'
2026-04-20 18:26:20 | ERROR    | main_window          | Error UI: 'AtraccionModel' object has no attribute 'visitantes_en_cola'
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Newton Peluche.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Newton Peluche.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Newton Peluche.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Newton Peluche.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
2026-04-20 18:26:20 | ERROR    | main_window          | Error UI: 'AtraccionModel' object has no attribute 'visitantes_en_cola'
2026-04-20 18:26:20 | ERROR    | main_window          | Error UI: 'AtraccionModel' object has no attribute 'visitantes_en_cola'
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Newton Peluche.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Newton Peluche.
2026-04-20 18:26:20 | WARNING  | motor                | VENTA PERDIDA: Sin stock de Comida Espacial.
